Barcode,Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
,STLTH ECO MINI 2mL Razzy Grape Ice CTN6,STLTH ECO MINI 2mL Razzy Grape Ice - carton of 6,36.81,53.94,13.00,VAPE & CIGAR
,STLTH ECO MINI 2mL Straw Kiwi Ice,STLTH ECO MINI 2mL Strawberry Kiwi Ice,6.34,8.99,13.00,VAPE & CIGAR
,STLTH ECO MINI 2mL Straw Kiwi Ice CTN6,STLTH ECO MINI 2mL Strawberry Kiwi Ice - carton of 6,38.04,53.94,13.00,VAPE & CIGAR
,STLTH LOOP 25K 20mL Rich Tobacco,STLTH LOOP 25K 20mL Rich Tobacco,21.04,30.99,13.00,VAPE & CIGAR
,STLTH LOOP 25K 20mL Rich Tobacco CTN5,STLTH LOOP 25K 20mL Rich Tobacco - carton of 5,105.20,154.95,13.00,VAPE & CIGAR
,STLTH LOOP 25K 20mL Straw Lime Ice,STLTH LOOP 25K 20mL Strawberry Lime Ice,21.04,30.99,13.00,VAPE & CIGAR
,STLTH LOOP 25K 20mL Straw Lime Ice CTN5,STLTH LOOP 25K 20mL Strawberry Lime Ice - carton of 5,105.20,154.95,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Blue Razz,STLTH LOOP MAX 70K 30mL Blue Razz,23.52,33.99,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Blue Razz CTN4,STLTH LOOP MAX 70K 30mL Blue Razz - carton of 4,94.08,135.96,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Green Apple Ice,STLTH LOOP MAX 70K 30mL Green Apple Ice,24.99,35.99,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K Green Apple Ice CTN4,STLTH LOOP MAX 70K 30mL Green Apple Ice - carton of 4,99.96,143.96,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Peach Berry,STLTH LOOP MAX 70K 30mL Peach Berry,23.52,33.99,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Peach Berry CTN4,STLTH LOOP MAX 70K 30mL Peach Berry - carton of 4,94.08,135.96,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Straw Kiwi,STLTH LOOP MAX 70K 30mL Strawberry Kiwi,25.09,35.99,13.00,VAPE & CIGAR
,STLTH LOOP MAX 70K 30mL Straw Kiwi CTN4,STLTH LOOP MAX 70K 30mL Strawberry Kiwi - carton of 4,100.37,143.96,13.00,VAPE & CIGAR
691584124789,STLTH GeekBar 80K 30mL Banana Burst Ice,STLTH x GEEK BAR 80K 30mL Banana Burst Ice,32.83,47.99,13.00,VAPE & CIGAR
,STLTH GeekBar 80K Banana Burst Ice CTN4,STLTH x GEEK BAR 80K 30mL Banana Burst Ice - carton of 4,131.32,191.96,13.00,VAPE & CIGAR
