Barcode,Product Name,Category,Epos PriceExTax,Epos PriceIncTax,Correct PriceExTax,Correct PriceIncTax,Difference,Issue
031146250301,Nongshim Spicy Chicken Bowl GENERAL ITEM,GROCERY,3.89,4.40,2.49,2.81,1.40,price landed on the wrong product
056594008632,Nivea Men Shower Gel,HEALTH & BEAUTY,3.49,3.94,8.99,10.16,-5.50,price landed on the wrong product
056594010130,Nivea men Shower Gel,HEALTH & BEAUTY,5.99,6.77,8.99,10.16,-3.00,price landed on the wrong product
056594018679,Nivea Men Boost Shower Gel,HEALTH & BEAUTY,5.99,6.77,8.99,10.16,-3.00,price landed on the wrong product
094922863485,nic outt,VAPE & CIGAR,2.49,2.81,2.99,3.38,-0.50,price landed on the wrong product
061740110121,NIBO BUTANE 162G,HEALTH & BEAUTY,8.99,10.16,4.99,5.64,4.00,price landed on the wrong product
061900106919,Next Xtra Tobacco,TOBACCO,8.99,10.16,31.00,35.03,-22.01,price landed on the wrong product
061900107046,Next Xtra KS 25,TOBACCO,8.99,10.16,15.93,18.00,-6.94,price landed on the wrong product
061900107022,Next XTRA KS 20,TOBACCO,2.99,3.38,12.83,14.50,-9.84,price landed on the wrong product
061900107374,Next SMOOTH KS 25,TOBACCO,4.99,5.64,15.93,18.00,-10.94,price landed on the wrong product
061900107138,Next original RG 25,TOBACCO,31.00,35.03,15.93,18.00,15.07,price landed on the wrong product
061900007056,Next Original KS 25 carton,TOBACCO,15.93,18.00,123.89,140.00,-107.96,price landed on the wrong product
061900107053,Next original KS 25,TOBACCO,12.83,14.50,15.93,18.00,-3.10,price landed on the wrong product
061900007001,Next Original KS 20 carton,TOBACCO,15.93,18.00,119.46,134.99,-103.53,price landed on the wrong product
061900107008,Next ORIGINAL KS 20,TOBACCO,15.93,18.00,12.83,14.50,3.10,price landed on the wrong product
061900007025,Next Extra KS 20 Carton,TOBACCO,15.93,18.00,119.47,135.00,-103.54,price landed on the wrong product
061700912208,Magnum,HEALTH & BEAUTY,13.72,15.50,3.99,4.51,9.73,price landed on the wrong product
628669010101,Mad Tom IPA,Beer,19.50,22.04,4.09,4.61,15.41,price landed on the wrong product
060100035180,MACDONALD ORIGINAL 25 KS,TOBACCO,5.00,5.65,15.93,18.00,-10.93,price landed on the wrong product
060100035159,MACDONALD ORIGINAL 20 KS,TOBACCO,1.99,2.25,13.27,15.00,-11.28,price landed on the wrong product
