LoyaltyMemberLedgerBook|PointsEarned|decimal|9|0|5
LoyaltyMemberLedgerBook|PointsRedeem|decimal|9|0|6
LoyaltyMemberLedgerBook|MemberID|int|4|1|7
LoyaltySetting|LoyaltyName|nchar|300|0|1
LoyaltySetting|Amount|decimal|9|1|2
LoyaltySetting|Points|decimal|9|1|3
Party|PT_ID|int|4|0|1
Party|Partyname|nvarchar|500|0|2
Party|Alias|nchar|400|1|3
Party|Country|nvarchar|500|0|4
Party|Address|nvarchar|500|0|5
Party|City|nchar|400|0|6
Party|State|nchar|400|1|7
Party|PinCode|nchar|60|1|8
Party|ContactNo|nchar|200|0|9
Party|Fax|nchar|200|1|10
Party|Email|nchar|400|1|11
Party|TIN|nchar|100|1|12
Party|CST|nchar|100|1|13
Party|PAN|nchar|100|1|14
Party|OpeningBalance|decimal|9|0|15
Party|BalanceType|nchar|40|0|16
Party|CreditLimit|decimal|9|0|17
Party|CreditDays|int|4|0|18
Payment|T_ID|int|4|0|1
Payment|TransactionID|nchar|40|1|2
Payment|Date|datetime|8|0|3
Payment|PaymentMode|nchar|60|1|4
Payment|SupplierID|int|4|0|5
Payment|Amount|decimal|9|0|6
Payment|Remarks|nvarchar|500|1|7
Payment|PaymentModeDetails|nvarchar|500|1|8
Payment_Withdraw|id|int|4|0|1
Payment_Withdraw|AccountFrom|nchar|100|1|2
Payment_Withdraw|PaymentMode|nchar|100|1|3
Payment_Withdraw|Date|datetime|8|1|4
Payment_Withdraw|Amount|decimal|9|1|5
Payment_Withdraw|ReceiverName|nchar|300|1|6
Payment_Withdraw|PhoneNo|nchar|100|1|7
Payment_Withdraw|Notes|nchar|400|1|8
Payroll|ID|int|4|0|1
Payroll|PaymentID|nchar|60|1|2
Payroll|PaymentDate|datetime|8|1|3
Payroll|PaymentMode|nchar|300|1|4
Payroll|UserID|nchar|200|1|5
Payroll|Rate|decimal|9|1|6
Payroll|Hours|int|4|1|7
Payroll|GrossSalary|decimal|9|1|8
Payroll|CPPPer|decimal|9|1|9
Payroll|CPP|decimal|9|1|10
Payroll|EIPer|decimal|9|1|11
Payroll|EI|decimal|9|1|12
Payroll|FedTaxPer|decimal|9|1|13
Payroll|FedTax|decimal|9|1|14
Payroll|NetPay|decimal|9|1|15
Payroll|DateFrom|datetime|8|1|16
Payroll|DateTo|datetime|8|1|17
Payroll|Remarks|nchar|500|1|18
Payroll_MB|ID|int|4|0|1
Payroll_MB|PaymentID|nchar|60|1|2
Payroll_MB|PaymentDate|datetime|8|1|3
Payroll_MB|PaymentMode|nchar|300|1|4
Payroll_MB|UserID|nchar|200|1|5
Payroll_MB|GrossSalary|decimal|9|1|6
Payroll_MB|CPPPer|decimal|9|1|7
Payroll_MB|CPP|decimal|9|1|8
Payroll_MB|EIPer|decimal|9|1|9
Payroll_MB|EI|decimal|9|1|10
Payroll_MB|FedTaxPer|decimal|9|1|11
Payroll_MB|FedTax|decimal|9|1|12
Payroll_MB|NetPay|decimal|9|1|13
Payroll_MB|Month|nchar|60|1|14
Payroll_MB|Year|int|4|1|15
Payroll_MB|Remarks|nchar|500|1|16
POS_ClosingCash|ClosingID|int|4|0|1
POS_ClosingCash|OpenID|int|4|0|2
POS_ClosingCash|ClosingDate|datetime|8|1|3
POS_ClosingCash|CQ1|int|4|1|4
POS_ClosingCash|CQ5|int|4|1|5
POS_ClosingCash|CQ10|int|4|1|6
POS_ClosingCash|CQ20|int|4|1|7
POS_ClosingCash|CQ50|int|4|1|8
POS_ClosingCash|CQ100|int|4|1|9
POS_ClosingCash|CLP|int|4|1|10
POS_ClosingCash|CLN|int|4|1|11
POS_ClosingCash|CLD|int|4|1|12
POS_ClosingCash|CLQ|int|4|1|13
POS_ClosingCash|CLHD|int|4|1|14
POS_ClosingCash|CLDC|int|4|1|15
POS_ClosingCash|CRP|int|4|1|16
POS_ClosingCash|CRN|int|4|1|17
POS_ClosingCash|CRD|int|4|1|18
POS_ClosingCash|CRQ|int|4|1|19
POS_ClosingCash|CRHD|int|4|1|20
POS_ClosingCash|CRDC|int|4|1|21
POS_ClosingCash|CTotalCashN|decimal|9|1|22
POS_ClosingCash|CTotalCashL|decimal|9|1|23
POS_ClosingCash|CTotalCashR|decimal|9|1|24
POS_ClosingCash|ClosingBalance|decimal|9|1|25
POS_ClosingCash|ActualCashSales|decimal|9|1|26
POS_ClosingCash|DifferInCash|decimal|9|1|27
POS_ClosingCash|U_ID|nchar|200|1|28
POS_HoldBill|Hold_ID|nchar|40|0|1
POS_HoldBill|OpenID|int|4|1|2
POS_HoldBill|Date|datetime|8|1|3
POS_HoldBill|DiscPer|decimal|9|1|4
POS_HoldBill|DiscAmt|decimal|9|1|5
POS_HoldBill|BillNote|nvarchar|-1|1|6
POS_HoldBill|CName|nchar|200|1|7
POS_HoldBill|CN|nchar|100|1|8
POS_HoldBill|EmailID|nchar|300|1|9
POS_HoldBill|RoundOff|decimal|9|1|10
POS_HoldBill|UID|nchar|200|1|11
POS_HoldBillItems|HBI_ID|int|4|0|1
POS_HoldBillItems|HoldID|nchar|40|1|2
POS_HoldBillItems|ProductID|int|4|1|3
POS_HoldBillItems|Barcode|nchar|200|1|4
POS_HoldBillItems|MfgDate|nchar|100|1|5
POS_HoldBillItems|ExpiryDate|nchar|100|1|6
POS_HoldBillItems|SalesRate|decimal|9|1|7
POS_HoldBillItems|DiscountPer|decimal|9|1|8
POS_HoldBillItems|Discount|decimal|9|1|9
POS_HoldBillItems|VATPer|decimal|9|1|10
POS_HoldBillItems|VAT|decimal|9|1|11
POS_HoldBillItems|Qty|float|8|1|12
POS_HoldBillItems|TotalAmount|decimal|9|1|13
POS_HoldBillItems|PurchaseRate|decimal|9|1|14
POS_HoldBillItems|Margin|decimal|9|1|15
POS_HoldBillItems|MarginPer|decimal|9|1|16
POS_HoldBillItems|FreeQty|float|8|1|17
POS_HoldBillItems|ItemNote|nvarchar|500|1|18
POS_HoldBillItems|ORate|decimal|9|1|19
POS_HoldBillItems|TPSPer|decimal|9|1|20
POS_HoldBillItems|TPSAmt|decimal|9|1|21
POS_HoldBillItems|TVQPer|decimal|9|1|22
POS_HoldBillItems|TVQAmt|decimal|9|1|23
POS_HoldBillItems|BDX|decimal|9|1|24
POS_OpeningCash|OpenID|int|4|0|1
POS_OpeningCash|TillDetails|nchar|200|1|2
POS_OpeningCash|UserID|nchar|200|0|3
POS_OpeningCash|OpeningDate|datetime|8|1|4
POS_OpeningCash|Closed|int|4|1|5
POS_OpeningCash|Q1|int|4|1|6
POS_OpeningCash|A1|decimal|9|1|7
POS_OpeningCash|Q5|int|4|1|8
POS_OpeningCash|A5|decimal|9|1|9
POS_OpeningCash|Q10|int|4|1|10
POS_OpeningCash|A10|decimal|9|1|11
POS_OpeningCash|Q20|int|4|1|12
POS_OpeningCash|A20|decimal|9|1|13
POS_OpeningCash|Q50|int|4|1|14
POS_OpeningCash|A50|decimal|9|1|15
POS_OpeningCash|Q100|int|4|1|16
POS_OpeningCash|A100|decimal|9|1|17
POS_OpeningCash|LP|int|4|1|18
POS_OpeningCash|LN|int|4|1|19
POS_OpeningCash|LD|int|4|1|20
POS_OpeningCash|LQ|int|4|1|21
POS_OpeningCash|LHD|int|4|1|22
POS_OpeningCash|LDC|int|4|1|23
POS_OpeningCash|RP|int|4|1|24
POS_OpeningCash|RN|int|4|1|25
POS_OpeningCash|RD|int|4|1|26
POS_OpeningCash|RQ|int|4|1|27
POS_OpeningCash|RHD|int|4|1|28
POS_OpeningCash|RDC|int|4|1|29
POS_OpeningCash|TotalCashN|decimal|9|1|30
POS_OpeningCash|TotalCashL|decimal|9|1|31
POS_OpeningCash|TotalCashR|decimal|9|1|32
POS_OpeningCash|OpeningCash|decimal|9|1|33
POSGrouping|ID|int|4|0|1
POSGrouping|Col1|int|4|1|2
POSGrouping|Col2|nchar|60|1|3
POSGrouping|Col3|nvarchar|-1|1|4
POSGrouping|Col4|nchar|60|1|5
POSGrouping|Col5|float|8|1|6
POSGrouping|Col6|nchar|60|1|7
POSGrouping|Col7|nchar|60|1|8
POSGrouping|Col8|decimal|9|1|9
POSGrouping|Col9|decimal|9|1|10
POSGrouping|Col10|decimal|9|1|11
POSGrouping|Col11|decimal|9|1|12
POSGrouping|Col12|decimal|9|1|13
POSGrouping|Col13|nchar|60|1|14
POSGrouping|Col14|decimal|9|1|15
POSGrouping|Col15|decimal|9|1|16
POSGrouping|Col16|decimal|9|1|17
POSGrouping|Col17|decimal|9|1|18
POSGrouping|Col18|nchar|300|1|19
POSGrouping|Col19|decimal|9|1|20
POSGrouping|Col20|nvarchar|500|1|21
POSGrouping|Col21|decimal|9|1|22
POSGrouping|Col22|decimal|9|1|23
POSGrouping|Col23|decimal|9|1|24
POSGrouping|Col24|decimal|9|1|25
POSGrouping|Col25|decimal|9|1|26
POSGrouping|Col26|decimal|9|1|27
PosPrinterSetting|Id|int|4|0|1
PosPrinterSetting|PrinterName|nvarchar|500|0|2
PosPrinterSetting|IsEnabled|nchar|40|0|3
PosPrinterSetting|TillID|nchar|200|1|4
PosPrinterSetting|CashDrawer|nchar|40|1|5
PosPrinterSetting|CustomerDisplay|nchar|40|1|6
PosPrinterSetting|CDPort|nchar|60|1|7
PosPrinterSetting|WS|nchar|60|1|8
PosPrinterSetting|WSPortNo|nchar|60|1|9
PosPrinterSetting|PT|nchar|60|1|10
PosPrinterSetting|PTipAddress|nchar|200|1|11
PosPrinterSetting|PTPortNo|nchar|60|1|12
PosPrinterSetting|CCD|nchar|40|1|13
PosPrinterSetting|AMII|nchar|40|1|14
PosPrinterSetting|isOS|nchar|20|1|15
PosPrinterSetting|WSType|nchar|60|1|16
PosPrinterSetting|BarcodePrinter|nchar|300|1|17
PosPrinterSetting|PGType|nchar|80|1|18
PosPrinterSetting|CloverClientID|nvarchar|100|1|19
PosPrinterSetting|CloverClientSecret|nvarchar|200|1|20
PosPrinterSetting|CloverAuthURL|nvarchar|400|1|21
PosPrinterSetting|CloverTokenURL|nvarchar|400|1|22
PosPrinterSetting|CloverRedirectURL|nvarchar|400|1|23
PosPrinterSetting|CloverDeviceID|nvarchar|100|1|24
PosPrinterSetting|AppName|nvarchar|100|1|25
PosPrinterSetting|RAID|nvarchar|100|1|26
PosPrinterSetting|DBBackupLocation|nvarchar|-1|1|27
PosPrinterSetting|DeleteHoldDataWhileCloseShift|bit|1|0|28
Product|PID|int|4|0|1
Product|ProductCode|nchar|100|0|2
Product|ProductName|nvarchar|-1|0|3
Product|Alias|nchar|300|1|4
Product|Description|nvarchar|-1|1|5
Product|Barcode|nchar|200|1|6
Product|Category|nchar|400|1|7
Product|PurchaseUnit|nchar|60|1|8
Product|SalesUnit|nchar|60|1|9
Product|PurchaseCost|decimal|9|1|10
Product|SalesCost|decimal|9|1|11
Product|ReorderPoint|int|4|1|12
Product|AddedDate|datetime|8|1|13
Product|MarginPer|decimal|9|1|14
Product|ShowPS|nchar|60|1|15
Product|ButtonUIColor|int|4|1|16
Product|IsValueN|nchar|20|1|17
Product|ImagePath|nvarchar|-1|1|18
Product|BD|decimal|9|1|19
Product|PromoCost|decimal|9|1|20
Product_Import_Stage|PID|int|4|0|1
Product_Import_Stage|ProductCode|nvarchar|100|1|2
Product_Import_Stage|ProductName|nvarchar|400|1|3
Product_Import_Stage|Alias|nvarchar|400|1|4
Product_Import_Stage|Category|nvarchar|200|1|5
Product_Import_Stage|TaxName|nvarchar|200|1|6
Product_Import_Stage|Description|nvarchar|-1|1|7
Product_Import_Stage|Barcode|nvarchar|200|1|8
Product_Import_Stage|PurchaseUnit|nvarchar|100|1|9
Product_Import_Stage|SalesUnit|nvarchar|100|1|10
Product_Import_Stage|PurchaseCost|decimal|9|1|11
Product_Import_Stage|SalesCost|decimal|9|1|12
Product_Import_Stage|PromoCost|decimal|9|1|13
Product_Import_Stage|ReorderPoint|int|4|1|14
Product_Import_Stage|BD|decimal|9|1|15
Product_Import_Stage|Qty|decimal|9|1|16
Product_Import_Stage|StorageType|nvarchar|40|1|17
Product_Import_Stage|Warehouse|nvarchar|500|1|18
Product_Import_Stage|MfgDate|nvarchar|100|1|19
Product_Import_Stage|ExpDate|nvarchar|100|1|20
Product_Import_Stage|ShowPS|nvarchar|40|1|21
Product_OpeningStock|PS_ID|int|4|0|1
Product_OpeningStock|ProductID|int|4|0|2
