Product Name,Product Description,Cost Price,Selling Price,Tax Percentage,Category Name
JACK LIKS PEPPRONI 22G HOT,JACK LIKS PEPPRONI 22G HOT,0.00,1.57,13.00,"CANDY,GUMS & CHOCOLATES"
juicy fruit original,juicy fruit original,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
KINDER BUENO,KINDER BUENO,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
Kinder Chocolate,Kinder Chocolate,0.00,1.99,13.00,"CANDY,GUMS & CHOCOLATES"
KINDER EGG,KINDER EGG,0.00,2.54,13.00,"CANDY,GUMS & CHOCOLATES"
KOOL-AID LOLLIPOP DIPPERS,KOOL-AID LOLLIPOP DIPPERS,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
"M & M CANDY,GUMS & CHOCOLATES 48G","M & M CANDY,GUMS & CHOCOLATES 48G",0.00,2.81,13.00,"CANDY,GUMS & CHOCOLATES"
M & M PEANUT 49G,M & M PEANUT 49G,0.00,2.81,13.00,"CANDY,GUMS & CHOCOLATES"
M&M MILK CHOC 87.9G,M&M MILK CHOC 87.9G,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
MARS,MARS,0.00,2.49,13.00,"CANDY,GUMS & CHOCOLATES"
MAYNARDS FUZZY PEACH 64G,MAYNARDS FUZZY PEACH 64G,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
MAYNARDS SOUR PATCH KIDS 60G,MAYNARDS SOUR PATCH KIDS 60G,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
MEMTOS MINT,MEMTOS MINT,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
Mentos fruit,Mentos fruit,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
NERDS GRAPE 46.7G,NERDS GRAPE 46.7G,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
NERDS GUMMY CLUSTERS 142G,NERDS GUMMY CLUSTERS 142G,0.00,5.64,13.00,"CANDY,GUMS & CHOCOLATES"
NESTLE AERO,NESTLE AERO,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
NESTLE AERO MINT,NESTLE AERO MINT,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
NESTLE GENERAL ITEMS CRISP,NESTLE GENERAL ITEMS CRISP,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
NESTLE KIT KAT,NESTLE KIT KAT,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
NESTLE SMARTIES,NESTLE SMARTIES,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
Nutella Bread Sticks,Nutella Bread Sticks,0.00,3.94,13.00,"CANDY,GUMS & CHOCOLATES"
Peel Pop,Peel Pop,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
Peel pop,Peel pop,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
Peel Pop,Peel Pop,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
Peel pop,Peel pop,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
Peel Pop,Peel Pop,0.00,3.38,13.00,"CANDY,GUMS & CHOCOLATES"
Peelrrz,Mango Candy,0.00,3.94,13.00,"CANDY,GUMS & CHOCOLATES"
REESES 3 CUP,REESES 3 CUP,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
RING POP,RING POP,0.00,1.50,13.00,"CANDY,GUMS & CHOCOLATES"
RXBAR,RXBAR,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
RXBAR,RXBAR,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
RXBAR,RXBAR,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
RXBAR,RXBAR,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
SESAME SNAPS,SESAME SNAPS,0.00,1.13,13.00,"CANDY,GUMS & CHOCOLATES"
SKITTLES ORIGINAL 61G,SKITTLES ORIGINAL 61G,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
SKITTLESSOUR 51G,SKITTLESSOUR 51G,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
SNICKERS,SNICKERS,0.00,2.50,13.00,"CANDY,GUMS & CHOCOLATES"
tic tac freshmint,tic tac freshmint,0.00,2.54,13.00,"CANDY,GUMS & CHOCOLATES"
tic tac fruit,tic tac fruit,0.00,3.01,13.00,"CANDY,GUMS & CHOCOLATES"
TWIX,TWIX,0.00,2.25,13.00,"CANDY,GUMS & CHOCOLATES"
WRIGLEY'S DOUBLE MINT,WRIGLEY'S DOUBLE MINT,0.00,3.72,13.00,"CANDY,GUMS & CHOCOLATES"
Teco Earphones,Teco Earphones,0.00,13.55,13.00,cell phone accesroies
USB-C Earphones,USB-C Earphones,0.00,13.55,13.00,cell phone accesroies
80 GM KABOOM,TAKIS,0.00,2.25,13.00,CHIPS
Cheetos puffs,Cheetos puffs,0.00,1.13,13.00,CHIPS
Doritos nacho,Doritos nacho,0.00,1.13,13.00,CHIPS
LAYS BAR BQ 28G,LAYS,0.00,1.13,13.00,CHIPS
lays classic,lays classic,0.00,1.13,13.00,CHIPS
LAYS DILL PICKLE 220GM,LAYS DILL PICKLE 220GM,0.00,5.64,13.00,CHIPS
Lays Hot N Sweet,Lays Hot N Sweet,0.00,5.64,13.00,CHIPS
lays kechup big 220g,lays kechup big 220g,0.00,5.64,13.00,CHIPS
LAYS MAGIC MASALA 200GM,LAYS MAGIC MASALA 200GM,2.99,5.64,13.00,CHIPS
MISS VICKS SEA SALT 55G,MISS VICKS SEA SALT 55G,2.69,3.04,13.00,CHIPS
Pringles BBQ 68g,Pringles BBQ 68g,0.00,3.01,13.00,CHIPS
PRINGLES HOT ONES 156G,PRINGLES HOT ONES 156G,2.89,4.51,13.00,CHIPS
RUFFELS CREAM ONION 28G,RUFFELS,0.00,1.13,13.00,CHIPS
Ruffles,Ruffles,0.00,1.13,13.00,CHIPS
salt nd vinegar lays,salt nd vinegar lays,0.00,5.64,13.00,CHIPS
Sour Cream Onion 68g,Sour Cream Onion 68g,0.00,3.01,13.00,CHIPS
TAKIS FUEGO 260GM,TAKIS FUEGO 260GM,4.19,4.51,13.00,CHIPS
VAGGIE ORIG.,SENSIBLE,0.00,4.51,13.00,CHIPS
VEGGIE ORIGINAL,VEGGIE,0.00,4.28,13.00,CHIPS
ZESTY RANCH,VEGGIE,0.00,5.64,13.00,CHIPS
